"Type","Ref","LocalPath","SourceFile"
"MISSING_DIR_INDEX","./rti/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\rti\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\index.html"
"MISSING_DIR_INDEX","./home/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\home\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\index.html"
"MISSING_DIR_INDEX","./tenders/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\tenders\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\index.html"
"MISSING_DIR_INDEX","./annual-procurement-plan/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\annual-procurement-plan\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\index.html"
"MISSING_DIR_INDEX","./msme/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\msme\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\index.html"
"MISSING_DIR_INDEX","./antrix-gst/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\antrix-gst\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\index.html"
"MISSING_DIR_INDEX","./career/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\career\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\index.html"
"MISSING_DIR_INDEX","./students-life/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\students-life\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\index.html"
"MISSING_DIR_INDEX","./news1/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\news1\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\index.html"
"MISSING_DIR_INDEX","./events1/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\events1\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\index.html"
"MISSING_DIR_INDEX","./alumni/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\alumni\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\index.html"
"MISSING_DIR_INDEX","./news-details/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\news-details\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\index.html"
"MISSING_DIR_INDEX","./event-details/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\event-details\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\index.html"
"MISSING_DIR_INDEX","./privacy/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\privacy\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\index.html"
"MISSING_DIR_INDEX","./terms-of-service/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\terms-of-service\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\index.html"
"MISSING_DIR_INDEX","./404/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\404\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\index.html"
"MISSING_DIR_INDEX","./starter-page/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\starter-page\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\index.html"
"MISSING_DIR_INDEX","./contact/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\contact\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\index.html"
"MISSING_ASSET",".//fonts.googleapis.com","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\fonts.googleapis.com","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\index.html"
"MISSING_DIR_INDEX","./wp-json/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\wp-json\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\index.html"
"MISSING_ASSET","./wp-json/wp/v2/pages/36","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\wp-json\wp\v2\pages\36","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\index.html"
"MISSING_ASSET","./xmlrpc.php?rsd","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\xmlrpc.php","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\index.html"
"MISSING_DIR_INDEX","./about-antrix/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\about-antrix\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\index.html"
"MISSING_ASSET","./wp-json/oembed/1.0/embed?url=https%3A%2F%2Fgithub.com%2FAdyapragnya%2FAntrix%2Fabout-antrix%2F","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\wp-json\oembed\1.0\embed","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\index.html"
"MISSING_ASSET","./wp-json/oembed/1.0/embed?url=https%3A%2F%2Fgithub.com%2FAdyapragnya%2FAntrix%2Fabout-antrix%2F&amp;format=xml","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\wp-json\oembed\1.0\embed","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\index.html"
"MISSING_DIR_INDEX","./about/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\about\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\index.html"
